c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
4.5,2.28,5.25,4.43,9953.48,7588.16,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.59,1.05,1.94,1.06,9953.48,9683.84,13,7,6,4,2606054,4283.78,444170,43.484
2.12,2.34,1.13,2.26,9953.48,7677.44,13,9,6,5,5140778,2741.68,197256,47.0092
4.4,1.38,0.88,4.87,9953.48,7212.8,15,9,6,6,8902254,1986.5,116510,49.2958
4.74,1.01,0.57,2.46,9953.48,6874.24,14,8,6,5,4993204,2760.87,200527,46.9378
1.81,0.22,4.43,1.5,9953.48,8978.56,13,6,8,4,4157204,4768.91,421462,43.7119
4.56,0.22,4.2,3.37,9953.48,9648.64,14,6,8,5,6390421,2593.8,189204,47.1902
0.84,1.57,3.44,4.63,9953.48,6958.08,13,9,8,6,10495688,1072.94,47430.5,53.1989
5.2,1.51,5.46,2.96,9953.48,9797.12,14,8,8,5,6664831,1857.87,131533,48.7692
2.93,1.58,4.33,1.57,9953.48,9550.4,14,8,8,4,4469903,3775.06,363192,44.3581
0.71,5.06,0.31,2.67,9953.48,7476.48,12,10,5,5,4864674,4002.77,337561,44.676
4.9,0.35,2.6,4.04,9953.48,9862.72,15,8,8,5,6704735,1860.87,131494,48.7704
0.88,2.17,5.27,0.46,9953.48,9832.96,12,9,7,3,2553590,6712.24,570126,42.3998
5.35,3.54,4.13,0.22,9953.48,8186.24,13,8,7,3,2403897,6724.85,572791,42.3795
3.9,3.17,3.08,1.34,9953.48,9703.68,13,9,7,4,3639793,3819.02,374368,44.2265
0.71,0.65,5.14,2.45,9953.48,8405.76,12,7,8,5,6436439,2068.25,144455,48.3622
2.42,0.57,5.51,5.34,9953.48,8658.56,14,8,8,6,10348114,1211.03,50879.3,52.8941
5.38,3.3,0.98,5.45,9953.48,8096.32,15,10,6,6,9112639,1928.08,115651,49.328
1.22,2.62,5.04,4.98,9953.48,8093.44,13,10,8,6,10706073,1052.29,46501.1,53.2849
2.22,5.4,5.21,2.5,9953.48,8620.8,13,10,8,5,7022790,1846.29,127367,48.9089
1.31,2.02,0.82,4.84,9953.48,7236.48,13,9,6,6,8824061,1994.5,116678,49.2896
4.7,1.98,0.17,5.24,9953.48,6644.16,15,9,5,6,8451935,3674.29,255439,45.8866
4.74,4.92,5.41,3.52,9953.48,8984.64,15,11,9,5,8556376,1798.02,122785,49.068
2.75,4.58,0.94,0.57,9953.48,9868.16,13,9,5,3,1445498,7827.34,761868,41.1407
2.78,2.67,0.11,0.14,9953.48,9075.87,12,8,4,0,681373,11918.1,966642,40.1068
0.22,1.36,4.49,2.62,9953.48,8473.6,10,8,8,5,6529593,1999.93,147652,48.2671
0.97,0.73,5.41,4.82,9953.48,8141.44,13,8,8,6,10309825,1191.03,50958.4,52.8873
1,2.23,3.29,1.28,9953.48,9881.6,12,8,7,4,3417760,3817.64,378541,44.1784
3.86,5.15,4.58,4.3,9953.48,7139.52,15,11,8,6,11015698,1057.31,46051.3,53.3271
4.72,1.13,2.09,4.7,9953.48,7317.76,15,9,7,6,9596197,1454.66,62084.2,52.0297
0.79,1.75,2.61,2.93,9953.48,9670.4,12,8,7,5,5612688,2199.03,147538,48.2705
0.81,4.07,1.9,1.35,9953.48,8620.8,12,9,7,4,3603623,3803.02,375040,44.2187
0.01,5.38,4.16,5.14,9953.48,7758.08,8,11,8,6,10801083,2176.39,372834,44.2443
4.65,3.71,4.05,3.91,9953.48,6626.72,15,10,8,6,10784266,1053.47,46324.6,53.3014
0.75,3.02,1.54,5.45,9953.48,7640.32,12,10,7,6,9692219,1454.37,61993.4,52.036
4.46,1.57,3.23,3.26,9953.48,8803.52,15,9,8,5,6890598,1831.19,128181,48.8813
