c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
2.56,2.77,3.12,4.32,11586.2,9692.16,6,7,9,9,26615,1232.9,30.784,86.3956
1.38,3.33,5.35,3.34,11586.2,8217.6,6,7,10,9,30984,1076.34,26.3062,87.0783
2.72,0.09,5.37,4.94,11586.2,8872.96,6,4,10,9,28544,2661.97,56.1159,83.788
2.43,4.96,4.92,3.87,11586.2,9643.52,6,7,10,9,30984,1076.34,26.3062,87.0783
5.52,4.22,0.05,2.29,11586.2,8376.32,7,7,5,8,15744,10273.3,92.1603,81.6334
0.81,2.39,0.56,1.31,11586.2,10521.6,5,6,7,7,10171,3876.95,70.4987,82.797
4.85,1.87,4.58,1.17,11586.2,11060.5,7,7,9,7,16807,2779.82,39.8222,85.2776
3.04,4.25,2.29,3.61,11586.2,8606.72,7,7,9,9,27203,1232.9,27.791,86.8398
4.59,5.46,0.34,5.4,11586.2,10305.3,7,7,7,9,22883,2976.3,47.5369,84.5085
3.63,5.16,5.33,2.7,11586.2,11365.1,7,7,10,8,25576,1351.11,26.9915,86.9666
0.81,4.07,1.9,1.35,11586.2,9973.76,5,7,9,7,15788,2875.82,45.4287,84.7055
3.73,2.34,3.47,2.18,11586.2,11369,6,6,9,8,19322,1632.33,40.3828,85.2169
1.86,5.38,4.49,5.33,11586.2,10987.5,6,7,10,9,30984,1076.34,26.3062,87.0783
2.59,5.46,2.93,3.81,11586.2,10360.3,6,7,9,9,26615,1232.9,30.784,86.3956
1.16,3.9,1.06,4.79,11586.2,9666.56,5,7,8,9,23482,1515.08,39.3912,85.3248
0.28,4.65,1.08,5.11,11586.2,9968.64,5,7,8,9,23482,1515.08,39.3912,85.3248
2,1.25,1.14,2.76,11586.2,10291.2,5,6,8,8,16189,2378.42,49.033,84.374
4.66,2.28,3.82,1.67,11586.2,9095.68,7,7,9,8,21207,1467.63,31.4755,86.2991
5.15,3.09,4.12,5.48,11586.2,9962.24,7,7,10,9,31572,1076.34,23.3232,87.601
3.92,1.26,5.4,3.05,11586.2,10803.2,7,6,10,8,24279,1561.51,32.9258,86.1035
3.61,4.87,2.51,3.78,11586.2,9396.48,7,7,9,9,27203,1232.9,27.791,86.8398
3.71,5.18,4.66,0.94,11586.2,9363.2,7,7,10,7,21176,2663.78,35.3762,85.7917
0.12,0.45,1.71,0.69,11586.2,11243.5,3,4,8,6,8428,5622.28,105.069,81.0641
1.77,2.89,0.55,1.24,11586.2,11197.4,5,6,7,7,10171,3876.95,70.4987,82.797
1.72,2.17,0.9,2.24,11586.2,9533.44,5,6,8,8,16189,2378.42,49.033,84.374
1.71,0.79,4.16,3.42,11586.2,9008.64,6,6,9,9,25318,1556.83,36.6919,85.6331
2.23,0.58,2.71,1.23,11586.2,9571.84,6,5,9,7,14208,3159.11,60.3415,83.4727
1.96,4.25,1.98,4.79,11586.2,9610.24,6,7,9,9,26615,1232.9,30.784,86.3956
2.21,1.82,3.26,1.84,11586.2,9536,6,6,9,8,19322,1632.33,40.3828,85.2169
1.14,0.92,1.33,1.8,11586.2,7936,5,6,8,8,16189,2378.42,49.033,84.374
0.84,3.71,1.97,0.29,11586.2,10639.4,5,6,8,6,9823,5747.17,73.6381,82.6078
