c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
2.4,0.47,1.0152,0.77,10,7,5737208,1.05578,0.0213584,36.8354
5.14,2.12,1.0152,0.690625,12,9,8769934,0.269401,0.00145703,48.4964
5.13,2.88,1.0152,0.880313,12,9,8769934,0.269401,0.00145703,48.4964
4.42,3.87,1.0152,0.621875,12,10,10035252,0.133401,0.000410897,53.9937
0.19,5.42,1.0152,0.8675,7,10,8265629,0.789651,0.0584071,32.4664
4.8,2.68,1.0152,0.97,11,9,8414576,0.264094,0.00177291,47.6442
1.41,3.92,1.0152,0.66625,10,10,9325035,0.168592,0.00136684,48.7739
4.16,5.54,1.0152,0.9525,11,10,9679894,0.164651,0.000719574,51.5603
3.89,1.14,1.0152,0.813125,11,8,7193390,0.567064,0.00599177,42.3555
0.13,4.87,1.0152,0.86875,6,10,7928962,1.3967,0.344659,24.7572
4.14,0.66,1.0152,0.91875,11,7,6092067,0.993276,0.0207483,36.9612
5.05,1.31,1.0152,0.970625,11,8,7193390,0.567064,0.00599177,42.3555
3.21,4.34,1.0152,0.743125,11,10,9679894,0.164651,0.000719574,51.5603
1.6,1.14,1.0152,0.77,10,8,6838531,0.52741,0.00665487,41.8997
1.2,0.8,1.0152,0.95,10,7,5737208,1.05578,0.0213584,36.8354
5.18,3.72,1.0152,0.626875,12,10,10035252,0.133401,0.000410897,53.9937
4.38,5.42,1.0152,0.95125,11,10,9679894,0.164651,0.000719574,51.5603
4.92,5.22,1.0152,0.96,11,10,9679894,0.164651,0.000719574,51.5603
4.23,0.53,1.0152,0.794375,11,7,6092067,0.993276,0.0207483,36.9612
1.37,0.58,1.0152,0.9225,9,7,5382923,1.05578,0.027168,35.7905
5.18,1.36,1.0152,1.00375,11,8,7193390,0.567064,0.00599177,42.3555
4.76,0.24,1.0152,0.7775,11,6,5094374,2.04954,0.0676599,31.8277
2.26,0.01,1.0152,0.981915,13,0,3319754,12.4501,4.10608,13.9968
4.82,2.88,1.0152,0.870625,12,9,8769934,0.269401,0.00145703,48.4964
1.1,3.34,1.0152,0.9725,10,9,8059717,0.326594,0.00240575,46.3186
