dname,drange,reqerr,threshold,c0,c1,c2,Total_retrieve_size,Compression_error
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.14,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.15,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.16,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.17,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.18,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.19,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.2,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.21,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.22,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.23,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.24,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.25,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.26,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.27,0.33,0.29,1.1,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.28,5.47,0.33,1.05,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.29,5.47,0.33,1.05,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.3,3.24,0.42,0.96,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.31,1.08,0.41,0.93,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.32,1.08,0.41,0.93,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.33,4.67,0.38,0.91,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.34,4.68,0.42,0.85,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.35,4.08,0.37,0.89,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.36,4.5,0.34,0.9,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.37,4.5,0.34,0.9,6395111,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.38,1.05,0.27,0.94,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.39,0.68,0.4,0.8,6300616,0.716031
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.4,5.16,0.35,0.84,6442723,0.731656
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.01,0.38,0.16,1.28,44009476,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.02,5.05,0.19,1.22,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.03,4.89,0.19,1.2,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.04,0.12,0.2,1.18,43906276,0.000330448
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.05,3.96,0.17,1.2,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.06,4.32,0.13,1.22,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.07,0.63,0.14,1.19,44009476,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.08,0.63,0.14,1.19,44009476,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.09,3.03,0.24,1.08,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.1,2.96,0.23,1.07,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.11,2.96,0.23,1.07,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.12,2.96,0.23,1.07,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.13,3.56,0.15,1.1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.14,4.16,0.2,1.03,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.15,4.16,0.2,1.03,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.16,4.16,0.2,1.03,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.17,4.34,0.19,1,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.18,0.78,0.17,1.01,44061076,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.19,3.8,0.21,0.96,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.2,3.8,0.21,0.96,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.21,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.22,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.23,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.24,3.28,0.19,0.95,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.25,3.7,0.2,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.26,2.13,0.16,0.9,44112676,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.27,2.13,0.16,0.9,44112676,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.28,2.13,0.16,0.9,44112676,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.29,3.27,0.14,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.3,3.27,0.14,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.31,3.27,0.14,0.88,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.32,4.78,0.18,0.81,44215876,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.33,1.47,0.17,0.79,44112676,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.34,5.27,0.16,0.79,44215876,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.35,5.27,0.16,0.79,44215876,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.36,2.49,0.15,0.78,44164276,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.37,5.14,0.15,0.76,44215876,0.000309944
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.38,0.65,0.12,0.78,44061076,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.39,0.65,0.12,0.78,44061076,0.000308037
precipf48_log_3.58e-04.csv,35.801388,0.000358,0.4,0.65,0.12,0.78,44061076,0.000308037
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.01,2.25,0.36,0.93,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.02,2.25,0.36,0.93,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.03,2.25,0.36,0.93,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.04,4.08,0.37,0.89,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.05,0.24,0.35,0.89,22432856,0.0309629
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.06,4.5,0.34,0.9,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.07,4.5,0.34,0.9,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.08,4.5,0.34,0.9,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.09,4.5,0.34,0.9,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.1,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.11,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.12,3.72,0.27,0.87,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.13,3.59,0.28,0.84,22639256,0.0313377
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.14,5.35,0.27,0.83,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.15,5.35,0.27,0.83,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.16,5.35,0.27,0.83,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.17,1.16,0.24,0.82,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.18,1.16,0.24,0.82,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.19,1.16,0.24,0.82,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.2,1.16,0.24,0.82,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.21,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.22,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.23,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.24,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.25,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.26,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.27,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.28,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.29,0.76,0.25,0.76,22536056,0.0311546
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.3,4.12,0.29,0.65,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.31,4.12,0.29,0.65,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.32,1.53,0.22,0.65,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.33,1.53,0.22,0.65,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.34,0.3,0.21,0.64,22484456,0.0316429
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.35,0.3,0.21,0.64,22484456,0.0316429
