c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
0.7,1.21,11586.2,7823.36,7,7,8173,3984.33,59.9906,83.498
3.19,3.7,11586.2,10844.2,9,8,16239,1613.53,24.4072,87.4037
1.59,0.14,11586.2,11100.2,7,4,3860,20303.5,141.577,79.7689
4.1,0.07,11586.2,10690.6,8,4,5568,20265.2,126.102,80.2716
2.53,4.5,11586.2,7198.72,9,9,22235,1186.46,20.6461,88.1305
3.19,3.99,11586.2,11438.1,9,8,16239,1613.53,24.4072,87.4037
0.96,3.81,11586.2,9768.96,8,8,14281,2416.77,35.4238,85.7859
1.43,3.35,11586.2,9789.44,8,8,14281,2416.77,35.4238,85.7859
3.29,4.8,11586.2,8284.16,9,9,22235,1186.46,20.6461,88.1305
1.97,3.12,11586.2,10424.3,8,8,14281,2416.77,35.4238,85.7859
1.73,3.09,11586.2,9871.36,8,8,14281,2416.77,35.4238,85.7859
4.21,1.03,11586.2,8529.92,9,7,11839,3015.83,32.5649,86.1513
4.76,1.21,11586.2,9830.4,9,7,11839,3015.83,32.5649,86.1513
0.56,0.07,11586.2,9175.04,6,3,2633,24864.6,176.566,78.8098
5.21,2.8,11586.2,11069.4,9,8,16239,1613.53,24.4072,87.4037
5.18,1.36,11586.2,10874.9,9,7,11839,3015.83,32.5649,86.1513
4.02,3.15,11586.2,10567.7,9,8,16239,1613.53,24.4072,87.4037
2.3,3.38,11586.2,9277.44,9,8,16239,1613.53,24.4072,87.4037
4.77,4.86,11586.2,9861.12,9,9,22235,1186.46,20.6461,88.1305
0.12,0.2,11586.2,8519.68,5,4,2895,24605.5,209.605,78.0648
2.06,5.01,11586.2,7239.68,9,9,22235,1186.46,20.6461,88.1305
2.74,1.08,11586.2,10035.2,8,7,9881,3630.74,43.9802,84.8463
2.24,3.9,11586.2,10281,9,8,16239,1613.53,24.4072,87.4037
1.85,0.48,11586.2,11509.8,7,6,6207,6060.43,76.992,82.4144
1.2,0.8,11586.2,11468.8,7,6,6207,6060.43,76.992,82.4144
2.19,4.12,11586.2,10680.3,9,8,16239,1613.53,24.4072,87.4037
2.1,1.49,11586.2,10403.8,8,7,9881,3630.74,43.9802,84.8463
0.37,5.05,11586.2,6686.72,7,9,18569,2800.28,48.7127,84.4024
4.76,0.24,11586.2,8806.4,9,5,8266,9269.12,61.5563,83.3861
3.89,1.14,11586.2,8652.8,9,7,11839,3015.83,32.5649,86.1513
3.76,3.93,11586.2,7874.56,9,9,22235,1186.46,20.6461,88.1305
4.67,3.47,11586.2,8335.36,9,9,22235,1186.46,20.6461,88.1305
0.81,3,11586.2,9461.76,7,8,12573,3520.19,52.7312,84.0582
1.41,3.92,11586.2,10915.8,8,8,14281,2416.77,35.4238,85.7859
4.69,4.5,11586.2,9410.56,9,9,22235,1186.46,20.6461,88.1305
1.56,1,11586.2,10485.8,7,7,8173,3984.33,59.9906,83.498
1.1,3.34,11586.2,11345.9,7,8,12573,3520.19,52.7312,84.0582
4.77,4.74,11586.2,9738.24,9,9,22235,1186.46,20.6461,88.1305
0.19,3.66,11586.2,9052.16,6,8,12081,5753.57,79.5389,82.273
5.05,1.31,11586.2,10537,9,7,11839,3015.83,32.5649,86.1513
0.9,0.19,11586.2,9912.32,7,4,3860,20303.5,141.577,79.7689
3.68,4.03,11586.2,7895.04,9,9,22235,1186.46,20.6461,88.1305
0.2,5.54,11586.2,6492.16,7,9,18569,2800.28,48.7127,84.4024
4.38,5.42,11586.2,10035.2,9,9,22235,1186.46,20.6461,88.1305
4.7,0.1,11586.2,8089.6,9,4,7526,19791.5,114.569,80.6882
3.62,2.73,11586.2,9297.92,9,8,16239,1613.53,24.4072,87.4037
1.6,3.1,11586.2,9625.6,8,8,14281,2416.77,35.4238,85.7859
4.72,1.82,11586.2,8560.64,9,8,16239,1613.53,24.4072,87.4037
4.23,0.53,11586.2,8673.28,9,6,9873,5368.98,48.8649,84.3889
4.82,2.88,11586.2,10833.9,9,8,16239,1613.53,24.4072,87.4037
3.79,4.54,11586.2,8529.92,9,9,22235,1186.46,20.6461,88.1305
0.35,2.9,11586.2,7372.8,7,8,12573,3520.19,52.7312,84.0582
4.76,3.02,11586.2,11059.2,9,8,16239,1613.53,24.4072,87.4037
4.22,5.31,11586.2,9758.72,9,9,22235,1186.46,20.6461,88.1305
1.4,2.77,11586.2,8540.16,8,8,14281,2416.77,35.4238,85.7859
2.62,1.49,11586.2,11468.8,8,7,9881,3630.74,43.9802,84.8463
1.23,2.96,11586.2,8581.12,8,8,14281,2416.77,35.4238,85.7859
0.79,2.01,11586.2,11468.8,7,7,8173,3984.33,59.9906,83.498
2.52,3.81,11586.2,10383.4,9,8,16239,1613.53,24.4072,87.4037
0.04,3.13,11586.2,7065.6,5,8,11608,11379.5,120.569,80.4665
0.5,2.8,11586.2,7782.4,7,8,12573,3520.19,52.7312,84.0582
4.47,1.09,11586.2,9041.92,9,7,11839,3015.83,32.5649,86.1513
2.75,1.51,11586.2,9000.96,9,7,11839,3015.83,32.5649,86.1513
1.95,2.29,11586.2,8683.52,8,8,14281,2416.77,35.4238,85.7859
1.03,3.13,11586.2,10629.1,7,8,12573,3520.19,52.7312,84.0582
3.73,2.87,11586.2,9697.28,9,8,16239,1613.53,24.4072,87.4037
0.14,2.06,11586.2,10731.5,5,7,7208,11566.1,126.99,80.2411
4.16,5.54,11586.2,9932.8,9,9,22235,1186.46,20.6461,88.1305
2.85,1.76,11586.2,10127.4,9,7,11839,3015.83,32.5649,86.1513
2.6,0.16,11586.2,7946.24,8,5,6308,9472.11,73.0466,82.6428
3.69,1.68,11586.2,10659.8,9,7,11839,3015.83,32.5649,86.1513
1.37,0.58,11586.2,10362.9,7,6,6207,6060.43,76.992,82.4144
2.69,4.74,11586.2,7608.32,9,9,22235,1186.46,20.6461,88.1305
0.51,5.39,11586.2,7608.32,7,9,18569,2800.28,48.7127,84.4024
3.53,1.41,11586.2,9390.08,9,7,11839,3015.83,32.5649,86.1513
4.78,4.19,11586.2,9185.28,9,9,22235,1186.46,20.6461,88.1305
4.07,0.49,11586.2,8181.76,9,6,9873,5368.98,48.8649,84.3889
1.16,5.12,11586.2,7618.56,8,9,20277,1807.6,31.9312,86.2367
4.32,2.33,11586.2,9195.52,9,8,16239,1613.53,24.4072,87.4037
4.14,0.66,11586.2,9646.08,9,6,9873,5368.98,48.8649,84.3889
3,1.62,11586.2,9707.52,9,7,11839,3015.83,32.5649,86.1513
2.17,2.42,11586.2,7178.24,9,8,16239,1613.53,24.4072,87.4037
5.44,3.81,11586.2,9472,9,9,22235,1186.46,20.6461,88.1305
4.92,5.22,11586.2,10383.4,9,9,22235,1186.46,20.6461,88.1305
2.43,4.11,11586.2,10905.6,9,8,16239,1613.53,24.4072,87.4037
4.58,2.27,11586.2,9338.88,9,8,16239,1613.53,24.4072,87.4037
1.21,4.08,11586.2,10833.9,8,8,14281,2416.77,35.4238,85.7859
3.32,4.47,11586.2,7976.96,9,9,22235,1186.46,20.6461,88.1305
1.61,3.52,11586.2,10506.2,8,8,14281,2416.77,35.4238,85.7859
3.66,2.16,11586.2,8171.52,9,8,16239,1613.53,24.4072,87.4037
2.2,1.59,11586.2,11018.2,8,7,9881,3630.74,43.9802,84.8463
2.42,1.06,11586.2,9297.92,8,7,9881,3630.74,43.9802,84.8463
2.49,5.44,11586.2,8120.32,9,9,22235,1186.46,20.6461,88.1305
4.56,2.38,11586.2,9543.68,9,8,16239,1613.53,24.4072,87.4037
2.06,3.47,11586.2,11325.4,8,8,14281,2416.77,35.4238,85.7859
1.45,0.22,11586.2,9543.68,7,5,4600,10037.1,88.2151,81.8234
3.3,1.51,11586.2,9564.16,9,7,11839,3015.83,32.5649,86.1513
3.76,5.4,11586.2,9379.84,9,9,22235,1186.46,20.6461,88.1305
2.02,0.13,11586.2,10403.8,7,5,4600,10037.1,88.2151,81.8234
1.4,3.64,11586.2,10321.9,8,8,14281,2416.77,35.4238,85.7859
4.4,3.95,11586.2,8550.4,9,9,22235,1186.46,20.6461,88.1305
5.09,3.22,11586.2,8509.44,9,9,22235,1186.46,20.6461,88.1305
4.93,2.95,11586.2,11089.9,9,8,16239,1613.53,24.4072,87.4037
3.21,4.34,11586.2,7731.2,9,9,22235,1186.46,20.6461,88.1305
2.75,2.82,11586.2,8591.36,9,8,16239,1613.53,24.4072,87.4037
1.57,5,11586.2,8335.36,8,9,20277,1807.6,31.9312,86.2367
5.1,3.34,11586.2,8642.56,9,9,22235,1186.46,20.6461,88.1305
0.89,2.74,11586.2,9256.96,7,8,12573,3520.19,52.7312,84.0582
5.04,2.4,11586.2,10076.2,9,8,16239,1613.53,24.4072,87.4037
4.78,3.95,11586.2,8939.52,9,9,22235,1186.46,20.6461,88.1305
4.56,1.68,11586.2,11550.7,9,7,11839,3015.83,32.5649,86.1513
2.54,4.4,11586.2,7106.56,9,9,22235,1186.46,20.6461,88.1305
3.79,4.03,11586.2,8007.68,9,9,22235,1186.46,20.6461,88.1305
5.3,2.56,11586.2,10670.1,9,8,16239,1613.53,24.4072,87.4037
5.17,3.84,11586.2,9226.24,9,9,22235,1186.46,20.6461,88.1305
4.26,1.93,11586.2,8314.88,9,8,16239,1613.53,24.4072,87.4037
0.55,4.69,11586.2,7055.36,7,9,18569,2800.28,48.7127,84.4024
4.22,3.91,11586.2,8325.12,9,9,22235,1186.46,20.6461,88.1305
4.8,4.8,11586.2,9830.4,9,9,22235,1186.46,20.6461,88.1305
1.02,0.45,11586.2,11550.7,7,5,4600,10037.1,88.2151,81.8234
1.06,0.12,11586.2,8273.92,7,4,3860,20303.5,141.577,79.7689
3.98,0.07,11586.2,10444.8,8,4,5568,20265.2,126.102,80.2716
0.4,1.75,11586.2,10444.8,6,7,7681,7425.55,87.5116,81.8582
4.5,1.58,11586.2,11079.7,9,7,11839,3015.83,32.5649,86.1513
4.13,3.98,11586.2,8304.64,9,9,22235,1186.46,20.6461,88.1305
2.42,0.08,11586.2,7577.6,8,4,5568,20265.2,126.102,80.2716
2.22,0.3,11586.2,9461.76,8,5,6308,9472.11,73.0466,82.6428
3.85,4.32,11586.2,8366.08,9,9,22235,1186.46,20.6461,88.1305
0.54,3.77,11586.2,9932.8,7,8,12573,3520.19,52.7312,84.0582
1.2,3.66,11586.2,9953.28,8,8,14281,2416.77,35.4238,85.7859
2.92,0.3,11586.2,10895.4,8,5,6308,9472.11,73.0466,82.6428
0.25,2.85,11586.2,6860.8,7,8,12573,3520.19,52.7312,84.0582
2.35,0.33,11586.2,10219.5,8,5,6308,9472.11,73.0466,82.6428
1.75,5.41,11586.2,9123.84,8,9,20277,1807.6,31.9312,86.2367
1.35,2.26,11586.2,7393.28,8,8,14281,2416.77,35.4238,85.7859
0.43,2.64,11586.2,7168,7,8,12573,3520.19,52.7312,84.0582
1.8,0.04,11586.2,9994.24,7,3,3125,26912.6,148.697,79.5558
0.77,5.38,11586.2,7086.08,8,9,20277,1807.6,31.9312,86.2367
4.45,4.51,11586.2,9175.04,9,9,22235,1186.46,20.6461,88.1305
3.44,3.14,11586.2,9953.28,9,8,16239,1613.53,24.4072,87.4037
0.77,1.46,11586.2,9134.08,7,7,8173,3984.33,59.9906,83.498
4.69,3.3,11586.2,11561,9,8,16239,1613.53,24.4072,87.4037
3.91,3.56,11586.2,11294.7,9,8,16239,1613.53,24.4072,87.4037
5.5,5.14,11586.2,10895.4,9,9,22235,1186.46,20.6461,88.1305
1.79,3.93,11586.2,9881.6,9,8,16239,1613.53,24.4072,87.4037
1.96,2.02,11586.2,10281,9,7,11839,3015.83,32.5649,86.1513
0.45,5.44,11586.2,7413.76,7,9,18569,2800.28,48.7127,84.4024
4.21,1.05,11586.2,8611.84,9,7,11839,3015.83,32.5649,86.1513
2.67,2.93,11586.2,8734.72,9,8,16239,1613.53,24.4072,87.4037
2.6,5.27,11586.2,8058.88,9,9,22235,1186.46,20.6461,88.1305
5.33,4.9,11586.2,10475.5,9,9,22235,1186.46,20.6461,88.1305
2.22,0.33,11586.2,9953.28,8,5,6308,9472.11,73.0466,82.6428
5.32,1.77,11586.2,9072.64,9,8,16239,1613.53,24.4072,87.4037
2.12,2.69,11586.2,9850.88,8,8,14281,2416.77,35.4238,85.7859
0.98,3.94,11586.2,10076.2,8,8,14281,2416.77,35.4238,85.7859
2.73,5.13,11586.2,8048.64,9,9,22235,1186.46,20.6461,88.1305
0.52,1.46,11586.2,8110.08,7,7,8173,3984.33,59.9906,83.498
1.53,3.24,11586.2,9768.96,8,8,14281,2416.77,35.4238,85.7859
1.16,3.77,11586.2,10096.6,8,8,14281,2416.77,35.4238,85.7859
1.34,5.05,11586.2,7915.52,8,9,20277,1807.6,31.9312,86.2367
4.79,2.04,11586.2,9082.88,9,8,16239,1613.53,24.4072,87.4037
1.45,0.16,11586.2,11182.1,7,4,3860,20303.5,141.577,79.7689
2.16,3.76,11586.2,9912.32,9,8,16239,1613.53,24.4072,87.4037
0.64,5.05,11586.2,7792.64,7,9,18569,2800.28,48.7127,84.4024
5.08,0.81,11586.2,8519.68,9,7,11839,3015.83,32.5649,86.1513
5.48,0.59,11586.2,10444.8,9,6,9873,5368.98,48.8649,84.3889
3.3,5.08,11586.2,8581.12,9,9,22235,1186.46,20.6461,88.1305
5.1,2.01,11586.2,9338.88,9,8,16239,1613.53,24.4072,87.4037
4.59,0.18,11586.2,7649.28,9,5,8266,9269.12,61.5563,83.3861
3.57,2.72,11586.2,9226.24,9,8,16239,1613.53,24.4072,87.4037
3.82,4.89,11586.2,8919.04,9,9,22235,1186.46,20.6461,88.1305
1.14,2.41,11586.2,7270.4,8,8,14281,2416.77,35.4238,85.7859
3.56,4.51,11586.2,8263.68,9,9,22235,1186.46,20.6461,88.1305
5.03,1.25,11586.2,10270.7,9,7,11839,3015.83,32.5649,86.1513
3.85,5.38,11586.2,9451.52,9,9,22235,1186.46,20.6461,88.1305
1.38,2.04,11586.2,11182.1,8,7,9881,3630.74,43.9802,84.8463
2.39,0.9,11586.2,8581.12,8,7,9881,3630.74,43.9802,84.8463
5.18,1.8,11586.2,8990.72,9,8,16239,1613.53,24.4072,87.4037
2.95,1.97,11586.2,11089.9,9,7,11839,3015.83,32.5649,86.1513
2.66,4.09,11586.2,11100.2,9,8,16239,1613.53,24.4072,87.4037
2.06,3.08,11586.2,10526.7,8,8,14281,2416.77,35.4238,85.7859
4.18,1.54,11586.2,10588.2,9,7,11839,3015.83,32.5649,86.1513
0.95,0.78,11586.2,10281,7,6,6207,6060.43,76.992,82.4144
1.37,2.43,11586.2,7782.4,8,8,14281,2416.77,35.4238,85.7859
2.35,4.36,11586.2,11335.7,9,8,16239,1613.53,24.4072,87.4037
